bout_id,event_id,bout_order,bout_datetime_utc,fighter_id,opponent_id,corner,weight_class,fighter_age_years,height_diff_cm,reach_diff_cm,stance_matchup,days_since_last_fight,prior_fight_count,recent_form_win_rate_l3,recent_form_win_rate_l5,opponent_strength_avg_l3,opponent_strength_avg_l5,finish_rate_all,decision_rate_all,sig_strikes_landed_per_min_all,sig_striking_accuracy_all,sig_striking_defense_all,takedown_attempts_per_15m_all,takedown_accuracy_all,takedown_defense_all,submission_attempts_per_15m_all,avg_fight_duration_seconds_all,rematch_flag,weight_class_experience
d0fb381cacbb0446,319c15b8aac5bfde,1,2022-07-23T00:00:00Z,fa6796c55d6c5440,399afbabc02376b5,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
d0fb381cacbb0446,319c15b8aac5bfde,1,2022-07-23T00:00:00Z,399afbabc02376b5,fa6796c55d6c5440,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
925a36a4af600291,319c15b8aac5bfde,2,2022-07-23T00:00:00Z,0a1942069c9ad6b6,5442f1bc4b47eaf3,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
925a36a4af600291,319c15b8aac5bfde,2,2022-07-23T00:00:00Z,5442f1bc4b47eaf3,0a1942069c9ad6b6,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
8e02bdaac8ed50e5,319c15b8aac5bfde,3,2022-07-23T00:00:00Z,7826923b47f8d72a,ac026518a9b4dc0f,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
8e02bdaac8ed50e5,319c15b8aac5bfde,3,2022-07-23T00:00:00Z,ac026518a9b4dc0f,7826923b47f8d72a,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1ff520024da5b3b2,319c15b8aac5bfde,4,2022-07-23T00:00:00Z,1091d4d957141094,3c6976f8182d9527,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1ff520024da5b3b2,319c15b8aac5bfde,4,2022-07-23T00:00:00Z,3c6976f8182d9527,1091d4d957141094,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
a57969d4ba7d4a79,319c15b8aac5bfde,5,2022-07-23T00:00:00Z,51018a31ddf31eb2,26e3f3928b1891d9,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
a57969d4ba7d4a79,319c15b8aac5bfde,5,2022-07-23T00:00:00Z,26e3f3928b1891d9,51018a31ddf31eb2,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
47b1cd4e3e2595f8,319c15b8aac5bfde,6,2022-07-23T00:00:00Z,0845c81e37d3bcb3,eabf206b162b3b83,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
47b1cd4e3e2595f8,319c15b8aac5bfde,6,2022-07-23T00:00:00Z,eabf206b162b3b83,0845c81e37d3bcb3,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
b0d06858fb725654,319c15b8aac5bfde,7,2022-07-23T00:00:00Z,5b86d491d63890c5,f6ad6a1e4d600e0d,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
b0d06858fb725654,319c15b8aac5bfde,7,2022-07-23T00:00:00Z,f6ad6a1e4d600e0d,5b86d491d63890c5,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
dd6dbe644f599795,319c15b8aac5bfde,8,2022-07-23T00:00:00Z,32c355b04fc57f3a,38c626ca912c7bac,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
dd6dbe644f599795,319c15b8aac5bfde,8,2022-07-23T00:00:00Z,38c626ca912c7bac,32c355b04fc57f3a,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
f6fd50bf69bb59e6,319c15b8aac5bfde,9,2022-07-23T00:00:00Z,329e403448756217,40093d1d2d78394e,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
f6fd50bf69bb59e6,319c15b8aac5bfde,9,2022-07-23T00:00:00Z,40093d1d2d78394e,329e403448756217,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
3d35f25d9792a69a,319c15b8aac5bfde,10,2022-07-23T00:00:00Z,87c0b1c696ddfb43,87a1dc546b1c5caf,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
3d35f25d9792a69a,319c15b8aac5bfde,10,2022-07-23T00:00:00Z,87a1dc546b1c5caf,87c0b1c696ddfb43,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
2dbf9d8d6915711e,319c15b8aac5bfde,11,2022-07-23T00:00:00Z,75353550928a7921,814e5233e2acf2ee,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
2dbf9d8d6915711e,319c15b8aac5bfde,11,2022-07-23T00:00:00Z,814e5233e2acf2ee,75353550928a7921,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
a1029686c3f1bead,319c15b8aac5bfde,12,2022-07-23T00:00:00Z,4c88a1db5a46c6a4,31f8081c7600da93,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
a1029686c3f1bead,319c15b8aac5bfde,12,2022-07-23T00:00:00Z,31f8081c7600da93,4c88a1db5a46c6a4,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
e600b78e5a652dc0,319c15b8aac5bfde,13,2022-07-23T00:00:00Z,9dedfdd91070ddd8,297a2b35444c245b,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
e600b78e5a652dc0,319c15b8aac5bfde,13,2022-07-23T00:00:00Z,297a2b35444c245b,9dedfdd91070ddd8,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1c84dafe38694c05,319c15b8aac5bfde,14,2022-07-23T00:00:00Z,9d19d9e4aa2662e8,6f7c616b98e18c29,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1c84dafe38694c05,319c15b8aac5bfde,14,2022-07-23T00:00:00Z,6f7c616b98e18c29,9d19d9e4aa2662e8,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
72c3e5eacde4f0e5,b0a6124751a56bc4,1,2022-07-30T00:00:00Z,80fa8218c99f9c58,3253b16d38ae087d,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
72c3e5eacde4f0e5,b0a6124751a56bc4,1,2022-07-30T00:00:00Z,3253b16d38ae087d,80fa8218c99f9c58,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
5a1ce88ec1f75160,b0a6124751a56bc4,2,2022-07-30T00:00:00Z,792be9a24df82ed6,853eb0dd5c0e2149,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
5a1ce88ec1f75160,b0a6124751a56bc4,2,2022-07-30T00:00:00Z,853eb0dd5c0e2149,792be9a24df82ed6,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
52f87252af59e23b,b0a6124751a56bc4,3,2022-07-30T00:00:00Z,f14cf73e51b29254,d3df1add9d9a7efb,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
52f87252af59e23b,b0a6124751a56bc4,3,2022-07-30T00:00:00Z,d3df1add9d9a7efb,f14cf73e51b29254,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
96b62bd56b252bab,b0a6124751a56bc4,4,2022-07-30T00:00:00Z,a0f0004aadf10b71,ab2b4ff41d6ebe0f,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
96b62bd56b252bab,b0a6124751a56bc4,4,2022-07-30T00:00:00Z,ab2b4ff41d6ebe0f,a0f0004aadf10b71,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
058c2724dec1add1,b0a6124751a56bc4,5,2022-07-30T00:00:00Z,d802174b0c0c1f4e,d4c9dcd330403612,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
058c2724dec1add1,b0a6124751a56bc4,5,2022-07-30T00:00:00Z,d4c9dcd330403612,d802174b0c0c1f4e,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
579b5770129b328a,b0a6124751a56bc4,6,2022-07-30T00:00:00Z,cdb96af67d096b1e,4aa58269d0664b5b,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
579b5770129b328a,b0a6124751a56bc4,6,2022-07-30T00:00:00Z,4aa58269d0664b5b,cdb96af67d096b1e,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
81a18de517a3336a,b0a6124751a56bc4,7,2022-07-30T00:00:00Z,519e4fe37ce9ff75,029afd138865d20a,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
