bout_id,event_id,promotion,bout_order,bout_datetime_utc,bout_completed,weight_class,winner_fighter_id,fighter_id,opponent_fighter_id,corner,result_score,k_factor,days_since_last_fight,days_since_last_weight_class_fight,pre_overall_elo,post_overall_elo,pre_weight_class_elo,post_weight_class_elo
e600b78e5a652dc0,319c15b8aac5bfde,UFC,13,2022-07-23T00:00:00Z,1,,9dedfdd91070ddd8,297a2b35444c245b,9dedfdd91070ddd8,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
1c84dafe38694c05,319c15b8aac5bfde,UFC,14,2022-07-23T00:00:00Z,1,,9d19d9e4aa2662e8,9d19d9e4aa2662e8,6f7c616b98e18c29,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
1c84dafe38694c05,319c15b8aac5bfde,UFC,14,2022-07-23T00:00:00Z,1,,9d19d9e4aa2662e8,6f7c616b98e18c29,9d19d9e4aa2662e8,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
72c3e5eacde4f0e5,b0a6124751a56bc4,UFC,1,2022-07-30T00:00:00Z,1,,80fa8218c99f9c58,80fa8218c99f9c58,3253b16d38ae087d,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
72c3e5eacde4f0e5,b0a6124751a56bc4,UFC,1,2022-07-30T00:00:00Z,1,,80fa8218c99f9c58,3253b16d38ae087d,80fa8218c99f9c58,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
5a1ce88ec1f75160,b0a6124751a56bc4,UFC,2,2022-07-30T00:00:00Z,1,,792be9a24df82ed6,792be9a24df82ed6,853eb0dd5c0e2149,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
5a1ce88ec1f75160,b0a6124751a56bc4,UFC,2,2022-07-30T00:00:00Z,1,,792be9a24df82ed6,853eb0dd5c0e2149,792be9a24df82ed6,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
52f87252af59e23b,b0a6124751a56bc4,UFC,3,2022-07-30T00:00:00Z,1,,f14cf73e51b29254,f14cf73e51b29254,d3df1add9d9a7efb,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
52f87252af59e23b,b0a6124751a56bc4,UFC,3,2022-07-30T00:00:00Z,1,,f14cf73e51b29254,d3df1add9d9a7efb,f14cf73e51b29254,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
96b62bd56b252bab,b0a6124751a56bc4,UFC,4,2022-07-30T00:00:00Z,1,,a0f0004aadf10b71,a0f0004aadf10b71,ab2b4ff41d6ebe0f,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
96b62bd56b252bab,b0a6124751a56bc4,UFC,4,2022-07-30T00:00:00Z,1,,a0f0004aadf10b71,ab2b4ff41d6ebe0f,a0f0004aadf10b71,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
058c2724dec1add1,b0a6124751a56bc4,UFC,5,2022-07-30T00:00:00Z,1,,d802174b0c0c1f4e,d802174b0c0c1f4e,d4c9dcd330403612,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
058c2724dec1add1,b0a6124751a56bc4,UFC,5,2022-07-30T00:00:00Z,1,,d802174b0c0c1f4e,d4c9dcd330403612,d802174b0c0c1f4e,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
579b5770129b328a,b0a6124751a56bc4,UFC,6,2022-07-30T00:00:00Z,1,,cdb96af67d096b1e,cdb96af67d096b1e,4aa58269d0664b5b,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
579b5770129b328a,b0a6124751a56bc4,UFC,6,2022-07-30T00:00:00Z,1,,cdb96af67d096b1e,4aa58269d0664b5b,cdb96af67d096b1e,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
